acquisition_date;acquisition_type;acquired_company;acquired_company_domain;acquirer;acquisition_price_usd;is_key_acquisition;founded_year;company_details_overview;disclosed;industry;acquisition_year;matured;acquisition_price_usd_billions;acquired_company_size;city;state_province_region;country
2013-02-14;Business Acquisition;Heinz;heinz.com;Berkshire Hathaway;28000000000.0;True;1869;Brand of sauces and condiments;1;Food & Beverage;2013;True;28.0;Large;Pittsburgh; Pennsylvania; United States
2012-12-20;Acqui-Hired;Bloomspot;bloomspot.com;JPMorgan Chase;35000000.0;True;2008;Daily deals platform;1;Marketing & Advertising;2012;False;0.04;Small;San Francisco; California; United States
2012-12-15;Business Acquisition;Berkshire Hathaway GUARD Insurance;guard.com;Berkshire Hathaway;221000000.0;True;1983;Property and casualty insurer;1;Insurance;2012;True;0.22;Medium;Wilkes Barre; Pennsylvania; United States
2012-11-02;Business Acquisition;Oriental Trading;orientaltrading.com;Berkshire Hathaway;500000000.0;True;1932;Direct Merchant of party supplies, toys and decorations;1;Retail;2012;True;0.5;Large;Omaha; Nebraska; United States
2012-02-17;Business Acquisition;TransUnion;transunion.com;Berkshire Hathaway;3000000000.0;True;1968;Provider of credit scoring data for consumers and businesses;1;Banking & Credit Services;2012;True;3.0;Large;Chicago; Illinois; United States
2011-03-14;Business Acquisition;Lubrizol;lubrizol.com;Berkshire Hathaway;9700000000.0;True;1928;Manufacturer of specialty chemicals specializing in additives, advanced materials, and oil field solutions;1;Building & Materials;2011;True;9.7;Large;Wickliffe; Ohio; United States
2010-10-01;Business Acquisition;AssuraMed;assuramed.com;Berkshire Hathaway;900000000.0;True;1928;Direct-To-Home Medical Supplies Distributor;1;Medical & Healthcare;2010;True;0.9;Large;Twinsburg; Ohio; United States
2010-07-11;Business Acquisition;Kenan Advantage Group;thekag.com;Berkshire Hathaway;720000000.0;True;1989;Provider of food transporting services;1;Automotive & Transportation;2010;True;0.72;Large;North; South Carolina; United States
2010-01-01;Business Acquisition;BNSF Railway;bnsf.com;Berkshire Hathaway;44000000000.0;True;1996;Operator of railroad network;1;Railroad Transportation;2010;True;44.0;Large;Fort Worth; Texas; United States
2009-06-11;Business Acquisition;iShares;ishares.com;BlackRock;13500000000.0;True;2000;Provider of solutions for exchange-traded funds;1;Investment & Financial Services;2009;False;13.5;Large;San Francisco; California; United States
2009-05-25;Business Acquisition;Universal Studios Japan;usj.co.jp;Berkshire Hathaway;1400000000.0;True;1994;Universal Studios' theme park in Japan;1;Media & Entertainment;2009;True;1.4;Large;Osaka; Osaka; Japan
2008-09-25;Business Acquisition;Washington Mutual;wamu.com;JPMorgan Chase;1900000000.0;True;1889;Commercial bank;1;Investment & Financial Services;2008;True;1.9;Large;New York City; New York; United States
2008-06-25;Business Acquisition;CIFA;cifa.com;Berkshire Hathaway;421364000.0;True;1997;Manufacturer of truck mounted pumps and batching plants;1;Construction Equipment;2008;True;0.42;Medium;Senago; Lombardy; Italy
