symbol;companyName;price;changesPercentage;marketCap;priceAvg50;priceAvg200;volume;eps;pe;stock_timestamp
BLK;BlackRock;910.06;-0.03405209;141289545180;993.4356;930.5452;629005;41.97;21.68;2025-03-12 22:58:10
BRK-B;Berkshire Hathaway;495.94;-0.06246851;1070090288989;473.4424;451.7117;2918234;41.29;12.01;2025-03-12 22:58:11
GS;Goldman Sachs;535.71;0.80537;167162412690;612.5914;535.7328;3075925;40.55;13.21;2025-03-12 22:58:11
JPM;JPMorgan Chase;227.9;-0.54115;637233469000;257.9836;227.3458;16038150;19.75;11.54;2025-03-12 22:58:12
STT;State Street;85.76;0.04666356;24739101440;97.4698;88.6457;2420174;8.21;10.45;2025-03-12 22:58:12
